facet,year,series,value
South Asia,2019,Pakistan,82.04623383
South Asia,2019,India,81.3875408891344
South Asia,2019,Region average,83.7323671653326
South Asia,2020,Bangladesh,87.8203351745248
South Asia,2020,Pakistan,82.4106135
South Asia,2020,India,79.9389667566613
South Asia,2020,Region average,83.3899718095529
South Asia,2021,Bangladesh,87.8773435760686
South Asia,2021,Pakistan,82.77499316
South Asia,2021,India,78.5819193513182
South Asia,2021,Region average,83.0780853628166
South Asia,2022,Bangladesh,87.9343519776125
South Asia,2022,Pakistan,79.8048972447305
South Asia,2022,India,79.8048972447305
South Asia,2023,Pakistan,80.6089645928342
South Asia,2023,India,80.6089645928342
